GISFIPSCode,AVG_AGE,Current_Smoker_Count,Former_Smoker_count,Smoke_at_all_count,PatientCount,ends_atall,ends_use_100k,Current_Smoker_100k,Former_Smoker_100k,Smoke_at_all_100k
37045,68,911,1465,2376,4297,160,3730,21200,34100,55300
29165,63,604,1042,1646,4588,217,4730,13170,22720,35880
17177,75,393,1097,1490,2433,115,4730,16160,45090,61250
46031,66,65,37,102,200,11,500,32500,18500,51000
39095,69,2760,5558,8318,14105,478,3390,19570,39410,58980
13237,70,210,235,445,985,42,4270,21320,23860,45180
5067,72,213,212,425,761,49,6440,27990,27860,55850
17127,71,195,328,523,896,45,5030,21770,36610,58370
21231,69,221,327,548,901,36,4000,24530,36300,60830
37115,68,205,318,523,1077,56,5200,19040,29530,48560
27031,74,29,66,95,198,11,1010,14650,33340,47980
29221,68,297,391,688,1131,34,3010,26260,34580,60840
13121,62,4519,5057,9576,26698,998,3740,16930,18950,35870
51775,66,365,497,862,2657,118,4450,13740,18710,32450
5083,70,372,413,785,1333,88,6610,27910,30990,58890
13085,65,145,218,363,826,39,4730,17560,26400,43950
13181,69,100,109,209,468,11,1710,21370,23290,44660
30045,69,24,40,64,155,11,0,15490,25810,41290
8045,69,304,611,915,1815,78,4300,16750,33670,50420
48013,63,458,591,1049,2384,74,3110,19220,24790,44010
42057,71,120,147,267,614,30,4890,19550,23950,43490
26009,70,234,369,603,1134,50,4410,20640,32540,53180
26107,68,310,534,844,1565,88,5630,19810,34130,53930
28145,71,222,188,410,832,193,23200,26690,22600,49280
22065,71,79,79,158,427,11,1170,18510,18510,37010
53039,69,228,450,678,1387,41,2960,16440,32450,48890
8014,59,165,447,612,1560,67,4300,10580,28660,39230
17117,69,380,539,919,1723,76,4410,22060,31290,53340
5047,70,339,419,758,1180,72,6110,28730,35510,64240
41067,62,2165,4122,6287,19004,838,4410,11400,21690,33090
6063,73,238,435,673,1326,71,5360,17950,32810,50760
18115,71,72,99,171,354,22,6220,20340,27970,48310
51119,71,110,183,293,558,22,3950,19720,32800,52510
20089,77,25,32,57,147,11,3410,17010,21770,38780
50027,68,517,1313,1830,4050,179,4420,12770,32420,45190
5015,71,370,654,1024,1603,96,5990,23090,40800,63880
1007,69,169,116,285,827,24,2910,20440,14030,34470
29081,75,92,95,187,445,12,2700,20680,21350,42030
